LIEU,Type,TPS_inscrits,TPS_admis,PS,MS,GS,CP,CE1,CE2,CM1,CM2,Total,Classe,ObjectId
Albert Bayet,Élémentaire,0,0,0,0,0,40,41,38,25,46,190,8,1
Alphonse Daudet,Élémentaire,0,0,0,0,0,37,42,33,35,42,189,11,2
Anatole France,Élémentaire,0,0,0,0,0,49,43,46,57,34,229,9,3
Aristide Briand,Élémentaire,0,0,0,0,0,36,47,49,37,43,212,9,4
Chanteranne,Élémentaire,0,0,0,0,0,33,30,39,30,34,166,8,5
Charles Perrault,Élémentaire,0,0,0,0,0,20,21,23,30,30,124,8,6
Diderot,Élémentaire,0,0,0,0,0,23,22,23,36,28,132,8,7
Edgar Quinet,Élémentaire,0,0,0,0,0,83,61,66,60,73,343,14,8
Edouard Herriot,Élémentaire,0,0,0,0,0,31,26,41,43,29,170,8,9
Ferdinand Buisson,Élémentaire,0,0,0,0,0,39,32,30,28,26,155,6,10
George Sand,Élémentaire,0,0,0,0,0,21,22,14,22,18,97,5,11
Jean Butez,Élémentaire,0,0,0,0,0,42,50,46,47,53,238,10,12
Jean de La Fontaine,Élémentaire,0,0,0,0,0,54,60,56,55,44,269,17,13
Jean Jaures,Élémentaire,0,0,0,0,0,26,31,34,29,23,143,9,14
Jean Mace,Élémentaire,0,0,0,0,0,43,38,44,42,32,199,12,15
Jean Moulin,Élémentaire,0,0,0,0,0,33,33,29,22,31,148,6,16
Jean Zay,Élémentaire,0,0,0,0,0,46,52,52,38,41,229,9,17
Jules Ferry,Élémentaire,0,0,0,0,0,40,48,47,61,54,250,11,18
Jules Michelet,Élémentaire,0,0,0,0,0,57,45,62,51,41,256,10,19
Jules Valles,Élémentaire,0,0,0,0,0,22,25,26,26,26,125,7,20
Jules Verne,Élémentaire,0,0,0,0,0,26,23,26,27,21,123,8,21
Mercoeur,Élémentaire,0,0,0,0,0,40,28,34,31,26,159,9,22
Nestor Perret,Élémentaire,0,0,0,0,0,47,46,42,54,54,243,11,23
Paul Bert,Élémentaire,0,0,0,0,0,56,65,52,49,56,278,12,24
Philippe Arbos,Élémentaire,0,0,0,0,0,36,35,38,29,37,175,10,25
Pierre et Marie Curie,Élémentaire,0,0,0,0,0,37,40,41,37,41,196,9,26
Pierre Mendes France,Élémentaire,0,0,0,0,0,42,49,47,35,36,209,13,27
Romain Rolland,Élémentaire,0,0,0,0,0,18,24,17,16,24,99,7,28
Victor Duruy,Élémentaire,0,0,0,0,0,44,40,36,44,38,202,9,29
Victor Hugo,Élémentaire,0,0,0,0,0,44,44,31,44,31,194,8,30
Albert Bayet,Maternelle,1,0,36,17,36,0,0,0,0,0,89,4,31
Alphonse Daudet,Maternelle,1,9,35,43,36,0,0,0,0,0,123,6,32
Anatole France,Maternelle,0,0,45,39,49,0,0,0,0,0,133,5,33
Aristide Briand,Maternelle,9,0,32,46,43,0,0,0,0,0,121,5,34
Chanteranne,Maternelle,1,0,39,33,35,0,0,0,0,0,107,5,35
Charles Perrault,Maternelle,5,4,23,21,21,0,0,0,0,0,69,4,36
Daniel Fousson,Maternelle,0,13,32,35,33,0,0,0,0,0,113,6,37
Diderot,Maternelle,3,6,18,19,29,0,0,0,0,0,72,4,38
Edgar Quinet,Maternelle,1,0,46,53,52,0,0,0,0,0,151,6,39
Edouard Herriot,Maternelle,4,2,23,37,30,0,0,0,0,0,92,4,40
Ferdinand Buisson,Maternelle,4,0,30,31,24,0,0,0,0,0,85,4,41
George Sand,Maternelle,1,0,22,21,16,0,0,0,0,0,59,3,42
Jean Butez,Maternelle,4,0,35,36,46,0,0,0,0,0,117,6,43
Jean de La Fontaine,Maternelle,2,15,43,49,56,0,0,0,0,0,163,10,44
Jean Jaures,Maternelle,0,7,29,29,27,0,0,0,0,0,92,5,45
Jean Mace,Maternelle,11,0,48,41,53,0,0,0,0,0,142,7,46
Jean Moulin,Maternelle,1,0,23,32,27,0,0,0,0,0,82,4,47
Jean Philippe Rameau,Maternelle,0,0,24,36,32,0,0,0,0,0,92,4,48
Jean Zay,Maternelle,2,0,52,38,54,0,0,0,0,0,144,6,49
Jules Ferry,Maternelle,3,0,48,48,49,0,0,0,0,0,145,6,50
Jules Michelet,Maternelle,3,0,48,49,44,0,0,0,0,0,141,6,51
Jules Valles,Maternelle,0,12,22,24,27,0,0,0,0,0,85,5,52
Jules Verne,Maternelle,1,12,26,30,31,0,0,0,0,0,99,5,53
La Pradelle,Maternelle,4,0,14,17,19,0,0,0,0,0,50,2,54
Nestor Perret,Maternelle,1,0,34,42,46,0,0,0,0,0,122,5,55
Paul Bert,Maternelle,6,0,50,61,50,0,0,0,0,0,161,7,56
Philippe Arbos,Maternelle,0,12,29,25,25,0,0,0,0,0,91,5,57
Pierre et Marie Curie,Maternelle,1,0,43,39,38,0,0,0,0,0,120,5,58
Pierre Mendes France,Maternelle,1,8,36,37,45,0,0,0,0,0,126,7,59
Romain Rolland,Maternelle,1,7,18,17,26,0,0,0,0,0,68,4,60
Victor Duruy,Maternelle,2,0,44,50,35,0,0,0,0,0,129,5,61
Victor Hugo,Maternelle,2,0,51,45,57,0,0,0,0,0,153,6,62
Chanteranne,ESHM,0,0,0,0,3,2,16,4,3,8,36,4,63
