x,y,variété
5.1,3.5,Setosa
4.9,3.0,Setosa
4.7,3.2,Setosa
4.6,3.1,Setosa
5.0,3.6,Setosa
5.4,3.9,Setosa
4.6,3.4,Setosa
5.0,3.4,Setosa
4.4,2.9,Setosa
4.9,3.1,Setosa
5.4,3.7,Setosa
4.8,3.4,Setosa
4.8,3.0,Setosa
4.3,3.0,Setosa
5.8,4.0,Setosa
5.7,4.4,Setosa
5.4,3.9,Setosa
5.1,3.5,Setosa
5.7,3.8,Setosa
5.1,3.8,Setosa
5.4,3.4,Setosa
5.1,3.7,Setosa
4.6,3.6,Setosa
5.1,3.3,Setosa
4.8,3.4,Setosa
5.0,3.0,Setosa
5.0,3.4,Setosa
5.2,3.5,Setosa
5.2,3.4,Setosa
4.7,3.2,Setosa
4.8,3.1,Setosa
5.4,3.4,Setosa
5.2,4.1,Setosa
5.5,4.2,Setosa
4.9,3.1,Setosa
5.0,3.2,Setosa
5.5,3.5,Setosa
4.9,3.6,Setosa
4.4,3.0,Setosa
5.1,3.4,Setosa
5.0,3.5,Setosa
4.5,2.3,Setosa
4.4,3.2,Setosa
5.0,3.5,Setosa
5.1,3.8,Setosa
4.8,3.0,Setosa
5.1,3.8,Setosa
4.6,3.2,Setosa
5.3,3.7,Setosa
5.0,3.3,Setosa
7.0,3.2,Versicolor
6.4,3.2,Versicolor
6.9,3.1,Versicolor
5.5,2.3,Versicolor
6.5,2.8,Versicolor
5.7,2.8,Versicolor
6.3,3.3,Versicolor
4.9,2.4,Versicolor
6.6,2.9,Versicolor
5.2,2.7,Versicolor
5.0,2.0,Versicolor
5.9,3.0,Versicolor
6.0,2.2,Versicolor
6.1,2.9,Versicolor
5.6,2.9,Versicolor
6.7,3.1,Versicolor
5.6,3.0,Versicolor
5.8,2.7,Versicolor
6.2,2.2,Versicolor
5.6,2.5,Versicolor
5.9,3.2,Versicolor
6.1,2.8,Versicolor
6.3,2.5,Versicolor
6.1,2.8,Versicolor
6.4,2.9,Versicolor
6.6,3.0,Versicolor
6.8,2.8,Versicolor
6.7,3.0,Versicolor
6.0,2.9,Versicolor
5.7,2.6,Versicolor
5.5,2.4,Versicolor
5.5,2.4,Versicolor
5.8,2.7,Versicolor
6.0,2.7,Versicolor
5.4,3.0,Versicolor
6.0,3.4,Versicolor
6.7,3.1,Versicolor
6.3,2.3,Versicolor
5.6,3.0,Versicolor
5.5,2.5,Versicolor
5.5,2.6,Versicolor
6.1,3.0,Versicolor
5.8,2.6,Versicolor
5.0,2.3,Versicolor
5.6,2.7,Versicolor
5.7,3.0,Versicolor
5.7,2.9,Versicolor
6.2,2.9,Versicolor
5.1,2.5,Versicolor
5.7,2.8,Versicolor
6.3,3.3,Virginica
5.8,2.7,Virginica
7.1,3.0,Virginica
6.3,2.9,Virginica
6.5,3.0,Virginica
7.6,3.0,Virginica
4.9,2.5,Virginica
7.3,2.9,Virginica
6.7,2.5,Virginica
7.2,3.6,Virginica
6.5,3.2,Virginica
6.4,2.7,Virginica
6.8,3.0,Virginica
5.7,2.5,Virginica
5.8,2.8,Virginica
6.4,3.2,Virginica
6.5,3.0,Virginica
7.7,3.8,Virginica
7.7,2.6,Virginica
6.0,2.2,Virginica
6.9,3.2,Virginica
5.6,2.8,Virginica
7.7,2.8,Virginica
6.3,2.7,Virginica
6.7,3.3,Virginica
7.2,3.2,Virginica
6.2,2.8,Virginica
6.1,3.0,Virginica
6.4,2.8,Virginica
7.2,3.0,Virginica
7.4,2.8,Virginica
7.9,3.8,Virginica
6.4,2.8,Virginica
6.3,2.8,Virginica
6.1,2.6,Virginica
7.7,3.0,Virginica
6.3,3.4,Virginica
6.4,3.1,Virginica
6.0,3.0,Virginica
6.9,3.1,Virginica
6.7,3.1,Virginica
6.9,3.1,Virginica
5.8,2.7,Virginica
6.8,3.2,Virginica
6.7,3.3,Virginica
6.7,3.0,Virginica
6.3,2.5,Virginica
6.5,3.0,Virginica
6.2,3.4,Virginica
5.9,3.0,Virginica
